timestamp,underlying,expiry,universal_mid,atm_vol,time,risk_free_rate,user_locked_skew,a,bL,bR,capL,floorR
2024-09-27 09:15:00,SENSEX,2024-09-27,85856.05052096175,0.16203180539793713,0.0015655577299412916,0.055,,-0.03299542469005615,-0.4969878389233554,-0.21448232913102538,0.33866835372235704,-0.2633066566661665
2024-09-27 09:16:00,SENSEX,2024-09-27,85862.20534152727,0.1521178383750919,0.0015613264928333423,0.055,,-0.07288357039907165,-0.7887319080210657,-0.14396793532980412,0.3403540115371626,-0.374734457821318
2024-09-27 09:17:00,SENSEX,2024-09-27,85856.34626164348,0.1427727882669684,0.0015570952557253928,0.055,,-0.05867289602871456,-0.7733911737421189,-0.16323988545939702,0.3315108222235003,-0.32679819449011693
2024-09-27 09:18:00,SENSEX,2024-09-27,85844.08668439885,0.13925028229135455,0.0015528640186174432,0.055,,-0.09998530104091037,-1.0754833884301327,-0.12935009901675076,0.32791265595263497,-0.32400757714071626
2024-09-27 09:19:00,SENSEX,2024-09-27,85849.84998722324,0.147100270905221,0.001548632781509494,0.055,,-0.15398648043459376,-1.9637781977245525,-0.06839378945947067,0.3218013597564759,-0.396767092428592
2024-09-27 09:20:00,SENSEX,2024-09-27,85855.35045445946,0.14563390545776142,0.0015444015444015444,0.055,,-0.16331277196481983,-1.433316042049849,-0.0635334832172561,0.32548033038057633,-0.471955406506619
2024-09-27 09:21:00,SENSEX,2024-09-27,85865.26358704717,0.14750833926673151,0.001540170307293595,0.055,,-0.18397886755909815,-1.4035557880258218,-0.05496518860935162,0.33058362308401423,-0.47123132102999765
2024-09-27 09:22:00,SENSEX,2024-09-27,85850.40391584982,0.14419497829838787,0.0015359390701856455,0.055,,-0.18319823759471388,-2.5024921058887823,-0.05590644338129927,0.3268184125902899,-0.3731106071067731
2024-09-27 09:23:00,SENSEX,2024-09-27,85869.99326020165,0.14141986822780248,0.001531707833077696,0.055,,-0.18949044021401482,-1.6144294170553664,-0.052528839994714,0.3298071925473175,-0.42942899995949113
2024-09-27 09:24:00,SENSEX,2024-09-27,85866.72220440947,0.13783100543033175,0.0015274765959697467,0.055,,-0.1919912193027185,-2.1908112105413604,-0.04991675741973325,0.33345969898667194,-0.4621963389158796
2024-09-27 09:25:00,SENSEX,2024-09-27,85857.69226692102,0.13703008887677132,0.0015232453588617974,0.055,,-0.1973411660617048,-2.46753402299339,-0.05035805178346249,0.3256383079668224,-0.4104949536640386
2024-09-27 09:26:00,SENSEX,2024-09-27,85855.02124237173,0.1339992868950499,0.0015190141217538478,0.055,,-0.22032905815841508,-2.177245654156027,-0.0349604586019394,0.3281095368054743,-0.46989121337605855
2024-09-27 09:27:00,SENSEX,2024-09-27,85888.86990727714,0.12931148134234788,0.0015147828846458985,0.055,,-0.2409733563909577,-1.6070233538594108,-0.020489015180503233,0.3262082099777061,-0.6067832061693319
2024-09-27 09:28:00,SENSEX,2024-09-27,85885.89882851853,0.12422014122945262,0.0015105516475379492,0.055,,-0.2627277155209239,-2.138607485995452,-0.00958996988242957,0.32094476157132784,-0.649939077454216
2024-09-27 09:29:00,SENSEX,2024-09-27,85861.27179159291,0.11879700507613539,0.0015063204104299997,0.055,,-0.2553146836918143,-3.0424034940044278,-0.011009437590098021,0.3140969996861213,-0.38685906700736683
2024-09-27 09:30:00,SENSEX,2024-09-27,85828.78172482822,0.12354358643669595,0.0015020891733220501,0.055,,-0.2806032876053027,-6.5610861116539025,-0.004806315544390068,0.3293223043514679,-0.6433633884921139
2024-09-27 09:31:00,SENSEX,2024-09-27,85835.16142079677,0.11772818669086098,0.0014978579362141008,0.055,,-0.28903785990827335,-4.666231197751323,0.0005788110669335854,0.31861701248455365,-0.9289073337259725
2024-09-27 09:32:00,SENSEX,2024-09-27,85859.69222539732,0.10972675653725941,0.0014936266991061513,0.055,,-0.2745990707239433,-4.688813076511013,0.0007848433119223235,0.27566968622111093,-0.9394361247726499
2024-09-27 09:33:00,SENSEX,2024-09-27,85880.85662324054,0.11339749346289534,0.001489395461998202,0.055,,-0.2770359074846549,-4.444599197224779,0.0009291555791450892,0.2931302525987839,-0.9405814338755487
2024-09-27 09:34:00,SENSEX,2024-09-27,85886.55298567332,0.10714673497427858,0.0014851642248902522,0.055,,-0.28566758663520253,-2.4371695974762266,0.0019897214297091934,0.29925117373851606,-0.2855882425332065
2024-09-27 09:35:00,SENSEX,2024-09-27,85890.60330705805,0.10574472068927487,0.001480932987782303,0.055,,-0.28547275831914876,-3.88703232818622,0.006489291931806303,0.2969180152072646,-0.3401746511623537
2024-09-27 09:36:00,SENSEX,2024-09-27,85877.36910125992,0.1023536558673232,0.0014767017506743536,0.055,,-0.277430410980275,-3.3898392344147203,0.00471482230216781,0.293509313371493,-0.2743186293960391
2024-09-27 09:37:00,SENSEX,2024-09-27,85889.0531626266,0.10443611691134715,0.001472470513566404,0.055,,-0.2826073302734634,-2.229169513855566,0.006390452718005842,0.2969766651531449,-0.2805623926273287
