timestamp,underlying,expiry,universal_mid,atm_vol,time,risk_free_rate,user_locked_skew,a,bL,bR,capL,floorR
2026-04-30 09:15:00,SENSEX,2026-04-30,76841.76915561924,0.15277890438717734,0.0015655577299412916,0.055,,-0.013249008369891718,-0.1276510235869101,-0.14921915321263424,0.26623724075071287,-0.3961475695715043
2026-04-30 09:16:00,SENSEX,2026-04-30,76784.39436649214,0.15345410303700194,0.0015613264928333423,0.055,,-0.03267860897791783,-0.13904826500469472,-0.1488627955733721,0.6433127385711848,-0.4257674576235941
2026-04-30 09:17:00,SENSEX,2026-04-30,76787.62753132118,0.15941236540799644,0.0015570952557253928,0.055,,-0.01745892084825458,-0.12200291669133556,-0.15403375063050334,0.8193333399901621,-0.4412532202415427
2026-04-30 09:18:00,SENSEX,2026-04-30,76794.59953877969,0.15507555988010166,0.0015528640186174432,0.055,,-0.022836981770503258,-0.13186819745433276,-0.14977088805602268,0.4452176831803859,-0.43087581434464406
2026-04-30 09:19:00,SENSEX,2026-04-30,76760.77165887607,0.15972944625818714,0.001548632781509494,0.055,,-0.008201788350315143,-0.11304223561598277,-0.15709324835467783,0.47354366995079555,-0.45587329310161784
2026-04-30 09:20:00,SENSEX,2026-04-30,76679.58600683813,0.1641816135916855,0.0015444015444015444,0.055,,-0.009602228060304325,-0.12018948653674104,-0.16312562117573623,0.4782470548798029,-0.4619947744243831
2026-04-30 09:21:00,SENSEX,2026-04-30,76606.846344636,0.1728314949357962,0.001540170307293595,0.055,,-0.026887065999552186,-0.12627942222458233,-0.1544876922570045,0.4979336902364483,-0.48570174801281624
2026-04-30 09:22:00,SENSEX,2026-04-30,76589.5783433046,0.1681540760115408,0.0015359390701856455,0.055,,-0.001155429458117386,-0.12660940603484389,-0.18764125072226062,0.4718140835507723,-0.4684937204764618
2026-04-30 09:23:00,SENSEX,2026-04-30,76574.9602545849,0.16817475260609896,0.001531707833077696,0.055,,-0.019890815313895624,-0.12175844008669243,-0.15873492104444964,0.48885618213434545,-0.48197009877457386
2026-04-30 09:24:00,SENSEX,2026-04-30,76590.02416195296,0.16663021018053722,0.0015274765959697467,0.055,,-0.01214163241253479,-0.11642191436117363,-0.1641574881726083,0.48614898109912175,-0.47572316477868537
2026-04-30 09:25:00,SENSEX,2026-04-30,76598.44568103767,0.165620193159122,0.0015232453588617974,0.055,,-0.01144512536731769,-0.11824749880956498,-0.1615724758374894,0.48318122338171343,-0.4724609129269791
2026-04-30 09:26:00,SENSEX,2026-04-30,76603.63365779276,0.1673781843427303,0.0015190141217538478,0.055,,-0.017559540156519823,-0.1189661741468612,-0.15250343396538615,0.48097672164792205,-0.47796764494512023
2026-04-30 09:27:00,SENSEX,2026-04-30,76569.57246509459,0.17245206855114392,0.0015147828846458985,0.055,,-0.019030408305057755,-0.11754890248221034,-0.15095960310469944,0.5032082568588634,-0.4930435167391213
2026-04-30 09:28:00,SENSEX,2026-04-30,76557.05058574074,0.17260160162551638,0.0015105516475379492,0.055,,-0.015910564771471153,-0.1199452866727902,-0.15992277887656192,0.48954234931736096,-0.4862364487135364
2026-04-30 09:29:00,SENSEX,2026-04-30,76546.49971002131,0.1700022606046786,0.0015063204104299997,0.055,,-0.01885234921039247,-0.11785350538441951,-0.16086389690071334,0.486895056770244,-0.4773144198405036
2026-04-30 09:30:00,SENSEX,2026-04-30,76544.98697759054,0.16728497799654718,0.0015020891733220501,0.055,,-0.027895479666160735,-0.12567850084145532,-0.16090355632786563,0.4801614744275724,-0.46792756915620604
2026-04-30 09:31:00,SENSEX,2026-04-30,76564.27205677515,0.1673928799122323,0.0014978579362141008,0.055,,-0.031116801843439408,-0.13083245725217166,-0.15647984003756799,0.4804113947070141,-0.4692148018158997
2026-04-30 09:32:00,SENSEX,2026-04-30,76616.75548370226,0.16443059162425133,0.0014936266991061513,0.055,,-0.017130972330800492,-0.12345847544916991,-0.15760979643974327,0.4682995436811739,-0.4615905922354254
2026-04-30 09:33:00,SENSEX,2026-04-30,76613.25927745196,0.16432039930644105,0.001489395461998202,0.055,,-0.009707294803447904,-0.12635543534122262,-0.16539365347986196,0.46298747101174215,-0.4608977291808155
2026-04-30 09:34:00,SENSEX,2026-04-30,76643.85766635954,0.16204189406493336,0.0014851642248902522,0.055,,-0.008943566918142182,-0.13195389277852576,-0.16693315547579862,0.4507269016147214,-0.45317840130785625
2026-04-30 09:35:00,SENSEX,2026-04-30,76643.20759157167,0.16549486960764606,0.001480932987782303,0.055,,-0.00295052529834486,-0.12854397648569837,-0.16824199765715686,0.46093599809382657,-0.4638653264122033
2026-04-30 09:36:00,SENSEX,2026-04-30,76632.29450127773,0.16487383863478922,0.0014767017506743536,0.055,,-0.0066823473516846865,-0.1286997643129804,-0.1656501731311364,0.45888912817509875,-0.46121026869336806
2026-04-30 09:37:00,SENSEX,2026-04-30,76611.5380817737,0.16580764206348866,0.001472470513566404,0.055,,-0.006439072918884924,-0.12798089864525905,-0.16602702938234976,0.46373979366917306,-0.4635511248824769
2026-04-30 09:38:00,SENSEX,2026-04-30,76638.0990389986,0.1642762288491836,0.0014682392764584545,0.055,,-0.013768865153100985,-0.13435035963911485,-0.16261244302956976,0.4580910150803532,-0.4580105308224869
2026-04-30 09:39:00,SENSEX,2026-04-30,76631.6485223904,0.16456332527137912,0.0014640080393505052,0.055,,-0.014906486809011342,-0.1376788617492449,-0.16461007200968936,0.4535138705397518,-0.45503325913588766
2026-04-30 09:40:00,SENSEX,2026-04-30,76612.44698507493,0.16241208686531536,0.0014597768022425557,0.055,,-0.024783525299289965,-0.1477184787481332,-0.16161461907911495,0.443560931013643,-0.4490475213460843
2026-04-30 09:41:00,SENSEX,2026-04-30,76669.93558551918,0.16262020280578798,0.0014555455651346064,0.055,,-0.018227282003273663,-0.14212470074794503,-0.1599962345432133,0.44876533571570876,-0.4517075854163348
2026-04-30 09:42:00,SENSEX,2026-04-30,76708.21767401713,0.1644411129469956,0.0014513143280266568,0.055,,-0.015115809889461533,-0.1411473178082393,-0.15403490707170736,0.45091297554094323,-0.454036084079171
2026-04-30 09:43:00,SENSEX,2026-04-30,76704.35942967076,0.16467818926520525,0.0014470830909187073,0.055,,-0.010352035726727889,-0.13748922964557053,-0.15730730359572806,0.4526056330000063,-0.453906258886696
2026-04-30 09:44:00,SENSEX,2026-04-30,76727.63235430382,0.16207302156211884,0.001442851853810758,0.055,,0.0012617337727680576,-0.1425582411635467,-0.16972687933295422,0.437210751373742,-0.44453530984504036
2026-04-30 09:45:00,SENSEX,2026-04-30,76724.72695642161,0.16499373803145034,0.0014386206167028087,0.055,,-0.0059777766270377244,-0.13613775525616234,-0.15692228887521298,0.45641241415154576,-0.454969159137109
2026-04-30 09:46:00,SENSEX,2026-04-30,76749.61708096176,0.16374523376718847,0.0014343893795948591,0.055,,-0.011770606686518147,-0.14339379817867984,-0.15369538091449148,0.4520795650199896,-0.45265360536432586
2026-04-30 09:47:00,SENSEX,2026-04-30,76687.90691437147,0.1613692061471503,0.0014301581424869098,0.055,,0.016628037157082484,-0.12179484317313366,-0.1806565917844305,0.4541861217267801,-0.44854717787511633
2026-04-30 09:48:00,SENSEX,2026-04-30,76669.70546650514,0.16212393065313926,0.0014259269053789605,0.055,,0.020419340817130163,-0.11873811242193263,-0.1798059146167918,0.4526946029442546,-0.45391390688628075
2026-04-30 09:49:00,SENSEX,2026-04-30,76670.75162257362,0.1629,0.001421695668271011,0.055,,0.014644787515101461,-0.12338450613561627,-0.17674209220110335,0.4575951481247855,-0.455091602024506
2026-04-30 09:50:00,SENSEX,2026-04-30,76634.26987584353,0.16183428457167903,0.0014174644311630614,0.055,,0.006364487000120987,-0.12842422579313584,-0.17655131964128723,0.45325050441727177,-0.45082770585690773
2026-04-30 09:51:00,SENSEX,2026-04-30,76648.52877188934,0.16110872960476463,0.0014132331940551119,0.055,,0.0018039899049838517,-0.1296228957072275,-0.1731861622522099,0.45463783678859804,-0.45038561087554874
2026-04-30 09:52:00,SENSEX,2026-04-30,76643.04946138813,0.16066788726303627,0.0014090019569471626,0.055,,0.008299430569165947,-0.12474274906886804,-0.17400041547464423,0.4526475041869444,-0.4509465151258407
2026-04-30 09:53:00,SENSEX,2026-04-30,76640.33584226367,0.16091753920431276,0.0014047707198392133,0.055,,0.01140893242237383,-0.12466119634479825,-0.1756956518982024,0.4512650050588003,-0.45272447389141085
2026-04-30 09:54:00,SENSEX,2026-04-30,76604.20032353708,0.15943362359547347,0.0014005394827312635,0.055,,0.02416587581056712,-0.11662892485819351,-0.1898365718599552,0.44932826691538985,-0.4482366000685636
2026-04-30 09:55:00,SENSEX,2026-04-30,76611.15085631891,0.15744421339358491,0.0013963082456233142,0.055,,0.0055090531664135755,-0.12832679801752675,-0.17864855982033523,0.4429641903051169,-0.4422958611469693
2026-04-30 09:56:00,SENSEX,2026-04-30,76573.74033339522,0.1564023748945215,0.0013920770085153649,0.055,,0.01664192893068489,-0.12147104862282716,-0.19352062051259813,0.4401047092679182,-0.43842557329306414
2026-04-30 09:57:00,SENSEX,2026-04-30,76564.22608585728,0.15456486581303688,0.0013878457714074153,0.055,,-0.0006866670057315221,-0.1278362341589189,-0.17776246669729756,0.43706827516111046,-0.4362900474042431
2026-04-30 09:58:00,SENSEX,2026-04-30,76557.5505745678,0.15386380245392225,0.0013836145342994658,0.055,,-0.0007161495298932407,-0.12556415070924543,-0.18073428981902329,0.4376228491520082,-0.4350878944200433
2026-04-30 09:59:00,SENSEX,2026-04-30,76557.23916970607,0.15169842782160575,0.0013793832971915165,0.055,,-0.01392482285909248,-0.1336530571268728,-0.17009488652907906,0.43260107308674944,-0.43430684119541024
2026-04-30 10:00:00,SENSEX,2026-04-30,76521.95397123894,0.1522242786761232,0.001375152060083567,0.055,,-0.004231960563479187,-0.12466674368666839,-0.18523015275191138,0.43238462717343706,-0.43461496496154256
