timestamp,universal_mid,universal_spot,atm_vol,options_pv,options_pv_snapshot,options_pnl,options_bs_delta_lots,cumulative_hedge_lots,final_bs_delta_lots,hedge_strike,hedge_pnl,total_pnl,hedge_trade_count
2024-08-30 09:20:00,82407.2176007475,82400.21805715235,0.1700483450728402,-286.42799999999994,-286.42799999999994,0.0,3.340357343216411,-3.0,0.34035734321641087,82400,0.0,0.0,1
2024-08-30 09:21:00,82453.2379801425,82446.25371437479,0.17226096307755312,-295.27200000000005,-286.42799999999994,-8.844000000000108,0.2685292645352173,0.0,0.2685292645352173,82400,-2.928247956444975,-11.772247956445083,2
2024-08-30 09:22:00,82479.91485603794,82472.94752352523,0.1668412820129895,-283.488,-286.42799999999994,2.939999999999941,-1.5602034691424174,2.0,0.43979653085758263,82400,-2.928247956444975,0.01175204355496584,3
2024-08-30 09:23:00,82470.51830443158,82463.57095643297,0.1668367272505721,-281.148,-286.42799999999994,5.279999999999916,-0.7772262241761447,2.0,1.2227737758238553,82400,-3.2982798695145177,1.9817201304853982,3
2024-08-30 09:24:00,82449.84998739779,82442.92356645953,0.16685148337217495,-280.428,-286.42799999999994,5.999999999999943,0.44831500168825356,0.0,0.44831500168825356,82400,-4.1163492489623605,1.8836507510375826,4
2024-08-30 09:25:00,82458.72154189777,82451.81356370308,0.1730349449611371,-291.852,-286.42799999999994,-5.424000000000035,-0.18848534207524592,0.0,-0.18848534207524592,82400,-4.1163492489623605,-9.540349248962396,4
2024-08-30 09:26:00,82496.55388921837,82489.6619384496,0.16873444093739645,-284.61599999999993,-286.42799999999994,1.8120000000000118,-2.677883777173389,3.0,0.3221162228266108,82400,-4.1163492489623605,-2.3043492489623487,5
2024-08-30 09:27:00,82496.5622171615,82489.68946253369,0.16896871540995048,-287.21999999999997,-286.42799999999994,-0.79200000000003,-2.569135168324938,3.0,0.43086483167506184,82400,-4.074347088839567,-4.866347088839597,5
2024-08-30 09:28:00,82500.85845593995,82494.00454123515,0.16721374354627536,-285.25199999999995,-286.42799999999994,1.1759999999999877,-2.759591597163025,3.0,0.24040840283697484,82400,-3.8163270021672355,-2.640327002167248,5
2024-08-30 09:29:00,82506.53811501621,82499.70292763002,0.16344579272246107,-278.20799999999997,-286.42799999999994,8.21999999999997,-3.252297959920682,3.0,-0.25229795992068205,82400,-3.5493062899276264,4.670693710072344,5
2024-08-30 09:30:00,82492.57438655899,82485.75955190872,0.16620780049240141,-280.26,-286.42799999999994,6.1679999999999495,-2.2044782684086566,3.0,0.7955217315913434,82400,-4.284368485522863,1.883631514477086,5
2024-08-30 09:31:00,82443.82861054805,82437.0369874426,0.16479850334347282,-273.336,-286.42799999999994,13.091999999999928,1.2374575165463715,-1.0,0.23745751654637148,82400,-7.269615706549958,5.82238429344997,6
2024-08-30 09:32:00,82389.63682679166,82382.86883991754,0.1773824917664202,-304.11600000000004,-286.42799999999994,-17.688000000000102,4.756262761780646,-5.0,-0.2437372382193539,82400,-6.118520946844948,-23.80652094684505,7
2024-08-30 09:33:00,82361.83458673212,82355.08804921596,0.1797352880066834,-311.11199999999997,-286.42799999999994,-24.684000000000026,6.499109084921982,-6.0,0.49910908492198214,82400,-3.9283418722994976,-28.612341872299524,8
2024-08-30 09:34:00,82306.7337180844,82300.01084676254,0.18503262467410742,-329.38800000000003,-286.42799999999994,-42.96000000000009,9.847881932865008,-10.0,-0.15211806713499243,82400,2.714199686986105,-40.24580031301399,9
2024-08-30 09:35:00,82371.75584436982,82365.04682982553,0.18368469555748287,-317.13599999999997,-286.42799999999994,-30.708000000000027,5.780070021918819,-6.0,-0.21992997808118098,82400,-9.77682193812361,-40.48482193812364,10
2024-08-30 09:36:00,82351.65419511085,82344.96598096257,0.18249332257036777,-315.24,-286.42799999999994,-28.81200000000007,7.141159987334214,-6.0,1.1411599873342144,82400,-7.598645846761356,-36.410645846761426,10
2024-08-30 09:37:00,82342.72441080387,82336.05608297412,0.18428547853879165,-319.368,-286.42799999999994,-32.940000000000055,7.690045468223096,-8.0,-0.3099545317769037,82400,-6.554562610906141,-39.49456261090619,11
2024-08-30 09:38:00,82366.84654783198,82360.19543323,0.17546221995535632,-299.12399999999997,-286.42799999999994,-12.696000000000026,6.436131571846502,-6.0,0.4361315718465022,82400,-10.35487156504212,-23.050871565042147,12
2024-08-30 09:39:00,82379.50724654077,82372.87427924032,0.17351207157883045,-293.916,-286.42799999999994,-7.488000000000056,5.6383495738617935,-6.0,-0.3616504261382065,82400,-11.812989865074922,-19.30098986507498,12
2024-08-30 09:40:00,82430.2903891736,82423.67251443003,0.16669697351110557,-274.60799999999995,-286.42799999999994,11.819999999999993,1.9611373042362565,-2.0,-0.03886269576374346,82400,-18.04149047426734,-6.221490474267348,13
2024-08-30 09:41:00,82429.04031695944,82422.44172376422,0.16773242252554152,-274.55999999999995,-286.42799999999994,11.867999999999995,2.112371708755042,-2.0,0.11237170875504221,82400,-17.881477367516197,-6.013477367516202,13
2024-08-30 09:42:00,82422.00680178759,82415.42795119264,0.16765412048932857,-274.704,-286.42799999999994,11.723999999999933,2.6048822805308145,-2.0,0.6048822805308145,82400,-17.609455394787652,-5.885455394787719,13
2024-08-30 09:43:00,82391.25726283729,82384.7000390467,0.16451456420519425,-272.28000000000003,-286.42799999999994,14.14799999999991,4.613536365064053,-5.0,-0.3864636349359474,82400,-16.479365258098984,-2.3313652580990727,14
2024-08-30 09:44:00,82349.77101414396,82343.23625484908,0.1680068418250174,-279.34800000000007,-286.42799999999994,7.07999999999987,7.580606471244613,-8.0,-0.4193935287553874,82400,-12.22902814333909,-5.149028143339219,15
2024-08-30 09:45:00,82340.8651014384,82334.35020954712,0.17017360675056395,-284.83200000000005,-286.42799999999994,1.59599999999989,8.166892835901216,-8.0,0.16689283590121562,82400,-10.708909716893686,-9.112909716893796,15
2024-08-30 09:46:00,82371.02532514345,82364.52721465418,0.16565301673008392,-271.64399999999995,-286.42799999999994,14.783999999999992,6.208404850507566,-6.0,0.2084048505075664,82400,-15.221267889760206,-0.43726788976021425,16
2024-08-30 09:47:00,82404.76750943091,82398.2859126434,0.16196201342880737,-262.068,-286.42799999999994,24.359999999999957,3.708198844837667,-4.0,-0.2918011551623332,82400,-19.421599132270785,4.938400867729172,17
2024-08-30 09:48:00,82385.0870670488,82378.62618922864,0.16174715692524078,-262.86,-286.42799999999994,23.567999999999927,5.159844061190569,-4.0,1.1598440611905687,82400,-18.049491451269713,5.518508548730214,17
2024-08-30 09:49:00,82390.37033754447,82383.92821761906,0.1628272289342088,-265.53600000000006,-286.42799999999994,20.891999999999882,4.792878255694104,-4.0,0.7928782556941041,82400,-18.353515465926613,2.5384845340732696,17
2024-08-30 09:50:00,82389.18746345589,82382.76460797299,0.16448371361531142,-266.292,-286.42799999999994,20.135999999999967,4.831169333363308,-4.0,0.8311693333633077,82400,-18.197503475833216,1.9384965241667516,17
2024-08-30 09:51:00,82352.2346287251,82345.83381735189,0.17096850311855083,-283.12800000000004,-286.42799999999994,3.2999999999998977,7.533229778557647,-8.0,-0.4667702214423528,82400,-15.233273290134965,-11.933273290135068,18
2024-08-30 09:52:00,82392.93782892176,82386.55302673524,0.16521998918548797,-267.6,-286.42799999999994,18.827999999999918,4.595705012962812,-5.0,-0.40429498703718814,82400,-21.89779153426644,-3.069791534266521,19
