id,timestamp,reason,strike,side,lots_change,trade_price,live_synthetic_mid,pnl
1,2025-11-04 09:20:00,Initial hedge,25750,SELL,-4.0,25760.650904671627,25760.650904671627,-0.0
2,2025-11-04 09:21:00,Threshold hedge,25750,SELL,-3.0,25752.600220253684,25752.600220253684,-0.0
3,2025-11-04 09:22:00,Threshold hedge,25750,SELL,-3.0,25738.599036925523,25738.599036925523,-0.0
4,2025-11-04 09:24:00,Threshold hedge,25750,BUY,2.0,25750.100008401474,25750.100008401474,0.0
5,2025-11-04 09:26:00,Threshold hedge,25750,SELL,-7.0,25723.19776087965,25723.19776087965,-0.0
6,2025-11-04 09:30:00,Threshold hedge,25750,SELL,-5.0,25703.046121070005,25703.046121070005,-0.0
7,2025-11-04 09:35:00,Threshold hedge,25750,SELL,-2.0,25694.29546297702,25694.29546297702,-0.0
8,2025-11-04 09:37:00,Threshold hedge,25750,BUY,2.0,25701.896104421514,25701.896104421514,0.0
9,2025-11-04 09:40:00,Threshold hedge,25750,BUY,2.0,25711.196884711248,25711.196884711248,0.0
10,2025-11-04 09:41:00,Threshold hedge,25750,SELL,-3.0,25700.84606513895,25700.84606513895,-0.0
11,2025-11-04 09:43:00,Threshold hedge,25750,BUY,2.0,25708.096665064306,25708.096665064306,0.0
12,2025-11-04 09:46:00,Threshold hedge,25750,SELL,-3.0,25698.895968489625,25698.895968489625,-0.0
13,2025-11-04 09:47:00,Threshold hedge,25750,SELL,-4.0,25682.694706061433,25682.694706061433,-0.0
14,2025-11-04 09:48:00,Threshold hedge,25750,BUY,2.0,25689.545258963615,25689.545258963615,0.0
15,2025-11-04 09:52:00,Threshold hedge,25750,BUY,2.0,25699.596094095232,25699.596094095232,0.0
16,2025-11-04 09:58:00,Threshold hedge,25750,BUY,2.0,25708.046807533898,25708.046807533898,0.0
17,2025-11-04 10:01:00,Threshold hedge,25750,BUY,3.0,25718.647636100653,25718.647636100653,0.0
18,2025-11-04 10:03:00,Threshold hedge,25750,SELL,-2.0,25713.197242280978,25713.197242280978,-0.0
19,2025-11-04 10:07:00,Threshold hedge,25750,BUY,1.0,25716.747539264743,25716.747539264743,0.0
20,2025-11-04 10:08:00,Threshold hedge,25750,SELL,-2.0,25708.8469641859,25708.8469641859,-0.0
21,2025-11-04 10:09:00,Threshold hedge,25750,SELL,-2.0,25701.096403815514,25701.096403815514,-0.0
22,2025-11-04 10:10:00,Threshold hedge,25750,SELL,-1.0,25697.04611829534,25697.04611829534,-0.0
23,2025-11-04 10:11:00,Threshold hedge,25750,BUY,2.0,25707.596901571884,25707.596901571884,0.0
24,2025-11-04 10:12:00,Threshold hedge,25750,SELL,-1.0,25700.29637968303,25700.29637968303,-0.0
25,2025-11-04 10:13:00,Threshold hedge,25750,SELL,-2.0,25695.8460681325,25695.8460681325,-0.0
26,2025-11-04 10:15:00,Threshold hedge,25750,SELL,-5.0,25674.694567466813,25674.694567466813,-0.0
27,2025-11-04 10:18:00,Threshold hedge,25750,BUY,2.0,25686.395455971386,25686.395455971386,0.0
28,2025-11-04 10:22:00,Threshold hedge,25750,BUY,1.0,25692.245927697964,25692.245927697964,0.0
29,2025-11-04 10:23:00,Threshold hedge,25750,BUY,2.0,25698.44637689495,25698.44637689495,0.0
30,2025-11-04 10:24:00,Threshold hedge,25750,BUY,2.0,25704.946844221202,25704.946844221202,0.0
31,2025-11-04 10:31:00,Threshold hedge,25750,BUY,1.0,25709.847252878997,25709.847252878997,0.0
32,2025-11-04 10:38:00,Threshold hedge,25750,SELL,-2.0,25703.09686744074,25703.09686744074,-0.0
33,2025-11-04 10:42:00,Threshold hedge,25750,BUY,1.0,25706.747151495558,25706.747151495558,0.0
34,2025-11-04 10:43:00,Threshold hedge,25750,SELL,-2.0,25700.44674810084,25700.44674810084,-0.0
35,2025-11-04 10:44:00,Threshold hedge,25750,SELL,-2.0,25694.446367257326,25694.446367257326,-0.0
36,2025-11-04 10:46:00,Threshold hedge,25750,BUY,2.0,25698.046626863576,25698.046626863576,0.0
37,2025-11-04 10:48:00,Threshold hedge,25750,SELL,-2.0,25694.046393184643,25694.046393184643,-0.0
38,2025-11-04 10:50:00,Threshold hedge,25750,BUY,2.0,25697.69665282567,25697.69665282567,0.0
39,2025-11-04 10:51:00,Threshold hedge,25750,SELL,-3.0,25691.8962951503,25691.8962951503,-0.0
40,2025-11-04 10:53:00,Threshold hedge,25750,BUY,2.0,25697.396670351063,25697.396670351063,0.0
41,2025-11-04 10:59:00,Threshold hedge,25750,BUY,4.0,25709.34748356521,25709.34748356521,0.0
42,2025-11-04 11:00:00,Threshold hedge,25750,BUY,3.0,25718.098032657377,25718.098032657377,0.0
43,2025-11-04 11:01:00,Threshold hedge,25750,SELL,-1.0,25714.597825043464,25714.597825043464,-0.0
44,2025-11-04 11:03:00,Threshold hedge,25750,SELL,-1.0,25710.747606771067,25710.747606771067,-0.0
45,2025-11-04 11:04:00,Threshold hedge,25750,SELL,-4.0,25699.496932566704,25699.496932566704,-0.0
46,2025-11-04 11:07:00,Threshold hedge,25750,SELL,-2.0,25695.84674866846,25695.84674866846,-0.0
47,2025-11-04 11:08:00,Threshold hedge,25750,SELL,-2.0,25687.696273816746,25687.696273816746,-0.0
48,2025-11-04 11:10:00,Threshold hedge,25750,SELL,-2.0,25681.64594377873,25681.64594377873,-0.0
49,2025-11-04 11:21:00,Threshold hedge,25750,SELL,-2.0,25677.34587458325,25677.34587458325,-0.0
50,2025-11-04 11:22:00,Threshold hedge,25750,BUY,2.0,25682.94620818284,25682.94620818284,0.0
51,2025-11-04 11:24:00,Threshold hedge,25750,SELL,-4.0,25666.64532518017,25666.64532518017,-0.0
52,2025-11-04 11:25:00,Threshold hedge,25750,SELL,-2.0,25662.195096028492,25662.195096028492,-0.0
53,2025-11-04 11:27:00,Threshold hedge,25750,BUY,3.0,25670.245582772895,25670.245582772895,0.0
54,2025-11-04 11:31:00,Threshold hedge,25750,SELL,-1.0,25665.245384726506,25665.245384726506,-0.0
55,2025-11-04 11:33:00,Threshold hedge,25750,SELL,-2.0,25661.545224403795,25661.545224403795,-0.0
56,2025-11-04 11:38:00,Threshold hedge,25750,SELL,-2.0,25655.545010358503,25655.545010358503,-0.0
